run3_loss,refusal_reason
Alpski vrt Golte,no-results
Cerkev Marije Snežne na Dobrovljah,no-results
Cerkev sv. Frančiška Ksaverija v Radmirju,name-mismatch
Cerkev sv. Kancijana v Rečici ob Savinji,no-results
Cerkev sv. Mihaela v Šmihelu nad Mozirjem,no-results
Dvorec Novo Celje,no-results
Ekomuzej hmeljarstva in pivovarstva Slovenije,no-results
Frančiškanski samostan Nazarje,no-results
Igla v Lučah,name-mismatch
Knežji dvor v Celju,no-results
Krajinski park Golte,no-results
Ljubenske rastke,no-results
Ljubno ob Savinji,blocked-class-or-addresstype
Luče,no-results
Menina planina,no-results
Mozirje,no-results
Mozirska planina,no-results
Muzej Vrbovec Nazarje,no-results
Muzej gozdarstva in lesarstva Nazarje,name-mismatch
Muzej novejše zgodovine Celje,no-results
Muzej usnjarstva na Slovenskem,no-results
Nazarje,no-results
Podzemlje Pece,name-mismatch
Rimska nekropola Šempeter,equally-plausible
Samostan Olimje,name-mismatch
Savinjska kolesarska pot,no-results
Skakalni center Savina Ljubno,no-results
Stari grad Celje,blocked-class-or-addresstype
Staro mestno jedro Kamnika,no-results
Stolnica svetih Mohorja in Fortunata v Gornjem Gradu,no-results
Vista – razgledni stolp,no-results
Župnijska cerkev sv. Jurija v Mozirju,name-mismatch

