name,category,status,range,road_distance_m,travel_duration_s,confirmation_method,refusal_reason,inclusion_reason,sl_description
Grad Vrbovec Nazarje,Znamenitosti,unresolved,,,,,no-results,Pomembna kulturnozgodovinska točka v bližnjem Nazarju.,"Grajski kompleks v Nazarjah, povezan z zgodovino Savinjske doline."
Muzej gozdarstva in lesarstva Nazarje,Znamenitosti,unresolved,,,,,name-mismatch,Vsebinsko dopolnjuje ogled gradu Vrbovec in predstavlja lokalno gozdarsko dediščino.,"Muzejska zbirka o gozdarstvu, lesarstvu in življenju v savinjskih gozdovih."
Frančiškanski samostan Nazarje,Znamenitosti,unresolved,,,,,no-results,Kulturna in sakralna znamenitost v neposredni okolici izhodišča.,Samostan z romarsko cerkvijo Marije Nazareške ob sotočju Savinje in Drete.
Cerkev sv. Kancijana v Rečici ob Savinji,Znamenitosti,unresolved,,,,,no-results,"Lokalna sakralna znamenitost, primerna za kratek ogled v kraju.",Župnijska cerkev v središču Rečice ob Savinji.
Ljubno ob Savinji,Znamenitosti,unresolved,,,,,blocked-class-or-addresstype,Bližnji savinjski kraj z značilno kulturno dediščino.,Kraj ob Savinji z vaškim značajem in tradicijo flosarstva.
Šmihel nad Mozirjem,Pohodi in kolesarjenje,pending,excursion,13445.5,1247,address_token,,Primeren cilj za krajši pohod in razgled po Zgornji Savinjski dolini.,Razgledna vzpetina s cerkvijo sv. Mihaela nad Mozirjem.
Golte,Pohodi in kolesarjenje,pending,excursion,22091.8,2144,exact,,Naravni izletniški cilj nad bližnjo Zgornjo Savinjsko dolino.,"Visokogorska planota nad Mozirjem, primerna za sprehode, pohode in razglede."
Alpski vrt Golte,Znamenitosti,unresolved,,,,,no-results,"Naravoslovna točka na območju Golte za goste, ki jih zanimajo alpske rastline.","Zbirka alpskih rastlin, primerna kot dopolnitev pohoda po Golteh."
Katedrala sv. Mohorja in Fortunata v Gornjem Gradu,Znamenitosti,unresolved,,,,,no-results,Izrazita sakralna in zgodovinska znamenitost Savinjske regije.,"Monumentalna cerkev v Gornjem Gradu, povezana z nekdanjim benediktinskim samostanom."
Slap Palenk,Znamenitosti,unresolved,,,,,name-mismatch,Naravna izletniška točka v zgornjem delu Savinjske doline.,"Slap v dolini potoka Črna pri Solčavi, obdan z gozdnim okoljem."
Solčava,Znamenitosti,unresolved,,,,,no-results,Primeren cilj za celodnevni izlet v alpski del Zgornje Savinjske doline.,"Alpski kraj ob Savinji, izhodišče za raziskovanje Solčavskega."
